tick,id,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,contacts
34,20,-0.852936,2.097706,0.001026,-3.101873,5.240092,3.222550,-0.205612,0.269804,-0.105287,0.934796,-6.261844,8.216796,-3.206477,0
34,21,0.013264,2.046841,-0.329823,3.405112,4.481317,-1.712865,0.015535,-0.106386,0.263055,0.958772,0.469252,-3.213516,7.945862,0
34,22,0.142321,2.067776,-0.010181,-1.084184,4.793613,3.055375,0.129087,0.011194,0.244430,0.960971,3.896314,0.337860,7.377757,0
34,23,0.540482,2.132964,-0.246575,-1.559136,5.766045,-0.471020,-0.130389,0.339222,-0.282372,0.887802,-4.036380,10.501131,-8.741244,0
34,24,-0.848327,2.068252,0.225848,-3.033125,4.800707,0.161817,0.148164,-0.118760,0.173304,0.966390,4.463891,-3.578015,5.221314,0
34,25,-0.378428,2.183632,0.174277,-2.437931,6.521885,-0.607488,-0.165041,-0.202237,0.180608,0.948284,-5.003092,-6.130649,5.475008,0
34,26,0.393008,2.184457,0.143825,2.655421,6.534193,-1.061746,-0.226244,-0.136485,0.064256,0.962318,-6.825710,-4.117719,1.938599,0
34,27,0.609863,2.119099,0.242518,-0.524161,5.559210,0.410499,-0.304044,0.119313,0.166343,0.930404,-9.273582,3.639149,5.073582,0
34,28,-0.430696,2.197238,0.674349,3.196875,6.724857,0.437817,0.000174,0.324173,0.023398,0.945708,0.005265,9.835721,0.709912,0
34,29,-0.354513,2.095315,0.470357,-2.081172,5.204418,-2.605225,-0.377756,-0.045294,-0.111610,0.918037,-11.571175,-1.387412,-3.418759,0
34,30,0.216440,2.166954,0.465492,0.021480,6.273096,-2.677794,0.367675,0.090049,0.118939,0.917910,11.262897,2.758440,3.643427,0
34,31,0.521317,2.043958,0.812576,-1.845032,4.438304,2.499804,-0.101141,0.337484,-0.221671,0.909251,-3.107552,10.369203,-6.810832,0
35,0,-0.547153,1.775067,-0.642277,1.165549,5.332331,0.032432,0.330523,-0.110378,-0.310778,0.884301,8.176355,-2.730493,-7.687898,0
35,1,-0.431783,1.813701,-0.848474,-2.582320,5.792542,-2.423778,-0.417206,0.200833,0.396064,0.792930,-10.666424,5.134566,10.125906,0
35,2,0.429345,1.642559,-0.880731,2.553279,3.753899,-2.808031,-0.181032,0.092454,0.326039,0.923244,-4.417832,2.256203,7.956529,0
35,3,0.539243,1.705524,-0.356666,-1.259776,4.503939,3.434633,0.238128,0.333949,-0.406175,0.816575,6.035459,8.464111,-10.294691,0
35,4,-0.693821,1.788639,-0.320228,-0.581551,5.494006,-1.253474,0.060457,0.155468,0.283585,0.944327,1.464712,3.766570,6.870496,0
35,5,0.004222,1.801349,-0.215200,2.611368,5.645408,-0.002384,0.258585,-0.041025,-0.172277,0.949617,6.253493,-0.992117,-4.166263,0
35,6,0.111654,1.847131,-0.220872,-1.231053,6.190759,-0.069948,0.382343,0.384781,0.099955,0.834126,9.629133,9.690514,2.517323,0
35,7,0.426511,1.854957,-0.295715,-2.602647,6.283985,-0.961473,0.390766,-0.089500,-0.363987,0.840717,9.817889,-2.248653,-9.145078,0
35,8,-0.397874,1.806494,0.317496,2.943769,5.706690,1.220927,0.003803,-0.391982,0.443317,0.806105,0.096751,-9.973072,11.279186,0
35,9,-0.336052,1.794338,0.394515,-1.441968,5.561887,2.138381,-0.382674,-0.350987,-0.299512,0.800413,-9.756639,-8.948731,-7.636340,0
35,10,-0.004839,1.720187,0.428026,-2.618727,4.678603,2.537561,-0.378705,0.401581,-0.412265,0.724812,-9.933159,10.533194,-10.813420,0
35,11,0.374053,1.634343,0.161888,-3.227518,3.656030,-0.632676,-0.420306,0.415228,-0.386100,0.708417,-11.094036,10.959992,-10.191164,0
35,12,-0.626288,1.745551,0.797790,0.222900,4.980738,1.820041,-0.195170,0.112047,0.073693,0.971557,-4.684866,2.689577,1.768920,0
35,13,-0.441947,1.742698,0.933272,-2.703394,4.946761,3.433893,0.194008,-0.440591,-0.064077,0.874148,4.816540,-10.938341,-1.590808,0
35,14,0.490708,1.724488,0.889997,3.284240,4.729840,2.918404,-0.105418,0.089144,0.325397,0.935445,-2.561788,2.166314,7.907540,0
35,15,0.440459,1.689641,0.875995,-2.436490,4.314740,2.751607,-0.358055,0.051805,0.242506,0.900169,-8.808216,1.274406,5.965692,0
35,16,-0.464943,2.071990,-0.469595,2.144835,3.747121,2.089429,0.277151,-0.295639,-0.331362,0.852047,6.935050,-7.397681,-8.291564,0
35,17,-0.115934,2.157379,-0.374448,1.180076,4.764278,3.222821,-0.339834,-0.385689,-0.393303,0.762279,-8.787962,-9.973742,-10.170662,0
35,18,-0.033094,2.208580,-0.453176,-2.955292,5.374187,2.285011,0.017376,0.388681,0.187809,0.901861,0.427198,9.555977,4.617406,0
35,19,0.687404,2.136996,-0.642454,0.505112,4.521467,0.030322,-0.167039,-0.209255,0.231659,0.935224,-4.059559,-5.085522,5.630013,0
35,20,-0.904444,2.181999,0.054538,-3.090499,5.057545,3.210734,-0.253272,0.332343,-0.129692,0.899212,-6.232622,8.178451,-3.191514,0
35,21,0.069807,2.118534,-0.358266,3.392627,4.301552,-1.706585,0.019224,-0.131651,0.325524,0.936126,0.467062,-3.198519,7.908781,0
35,22,0.124318,2.144655,0.040555,-1.080208,4.612704,3.044172,0.159809,0.013858,0.302603,0.939521,3.878131,0.336283,7.343327,0
